Accession,Virus_Name,Host,Country,Animal
NC_011400.1|Mamastrovirus_6|Homo_sapiens|Australia,Mamastrovirus_6,Homo_sapiens,Australia,human
NC_013060.1|Mamastrovirus_9|Homo_sapiens|USA,Mamastrovirus_9,Homo_sapiens,USA,human
NC_016896.1|Astrovirus_wild_boar/WBAstV-1/2011/HUN|Sus_scrofa|Hungary,Astrovirus_wild_boar/WBAstV-1/2011/HUN,Sus_scrofa,Hungary,pig
Ma_Frozen_4|AstV-Ma4-FL-2021|Myotis_austroriparius|USA,AstV-Ma4-FL-2021,Myotis_austroriparius,USA,bat
OR951016.1|Bat_astrovirus|Myotis_chinensis|China,Bat_astrovirus,Myotis_chinensis,China,bat
MZ218054.1|Bat_astrovirus|Myotis_daubentonii|Denmark,Bat_astrovirus,Myotis_daubentonii,Denmark,bat
MZ218053.1|Bat_astrovirus|Myotis_daubentonii|Denmark,Bat_astrovirus,Myotis_daubentonii,Denmark,bat
NC_043098.1|Mamastrovirus_12|Taphozous_melanopogon|China,Mamastrovirus_12,Taphozous_melanopogon,China,bat
NC_043100.1|Mamastrovirus_15|Taphozous_melanopogon|China,Mamastrovirus_15,Taphozous_melanopogon,China,bat
NC_043096.1|Mamastrovirus_7|Tursiops_truncatus|USA,Mamastrovirus_7,Tursiops_truncatus,USA,dolphin
NC_024297.1|Bovine_astrovirus|Bos_taurus|China,Bovine_astrovirus,Bos_taurus,China,cow
NC_023632.1|Bovine_astrovirus_B170/HK|Bos_taurus|Hong_Kong,Bovine_astrovirus_B170/HK,Bos_taurus,Hong_Kong,cow
NC_023631.1|Bovine_astrovirus_B18/HK|Bos_taurus|Hong_Kong,Bovine_astrovirus_B18/HK,Bos_taurus,Hong_Kong,cow
NC_023630.1|Bovine_astrovirus_B76-2/HK|Bos_taurus|Hong_Kong,Bovine_astrovirus_B76-2/HK,Bos_taurus,Hong_Kong,cow
NC_023629.1|Bovine_astrovirus_B76/HK|Bos_taurus|Hong_Kong,Bovine_astrovirus_B76/HK,Bos_taurus,Hong_Kong,cow
NC_034975.1|Mamastrovirus_4|Zalophus_californianus|USA,Mamastrovirus_4,Zalophus_californianus,USA,seal
NC_043416.1|Mamastrovirus_5|Canis_familiaris|Italy,Mamastrovirus_5,Canis_familiaris,Italy,dog
NC_026814.1|Mamastrovirus_5|Canis_familiaris|United_Kingdom,Mamastrovirus_5,Canis_familiaris,United_Kingdom,dog
NC_027711.1|Dromedary_astrovirus|Camelus_dromedarius|United_Arab_Emirates,Dromedary_astrovirus,Camelus_dromedarius,United_Arab_Emirates,camel
NC_022249.1|Feline_astrovirus_2|Felis_catus|Hong_Kong,Feline_astrovirus_2,Felis_catus,Hong_Kong,cat
NC_024701.1|Mamastrovirus_2|Felis_catus|USA,Mamastrovirus_2,Felis_catus,USA,cat
NC_013443.1|HMO_Astrovirus_A|Homo_sapiens|Nigeria,HMO_Astrovirus_A,Homo_sapiens,Nigeria,human
NC_024472.1|Burkina_Faso_astrovirus|Homo_sapiens|Burkina_Faso,Burkina_Faso_astrovirus,Homo_sapiens,Burkina_Faso,human
NC_030922.1|Mamastrovirus_1|Homo_sapiens|India,Mamastrovirus_1,Homo_sapiens,India,human
NC_004579.1|Mamastrovirus_10|Neovison_vison|NA,Mamastrovirus_10,Neovison_vison,NA,mink
NC_043097.1|Mamastrovirus_11|Zalophus_californianus|USA,Mamastrovirus_11,Zalophus_californianus,USA,seal
NC_002469.1|Mamastrovirus_13|Ovis_aries|NA,Mamastrovirus_13,Ovis_aries,NA,sheep
NC_043099.1|Mamastrovirus_14|Miniopterus_magnater|China,Mamastrovirus_14,Miniopterus_magnater,China,bat
NC_043101.1|Mamastrovirus_16|Pipistrellus_abramus|China,Mamastrovirus_16,Pipistrellus_abramus,China,bat
NC_038368.1|Mamastrovirus_17|Hipposideros_pomona|China,Mamastrovirus_17,Hipposideros_pomona,China,bat
NC_043102.1|Mamastrovirus_18|Miniopterus_pusillus|China,Mamastrovirus_18,Miniopterus_pusillus,China,bat
NC_043103.1|Mamastrovirus_19|Taphozous_melanopogon|China,Mamastrovirus_19,Taphozous_melanopogon,China,bat
NC_034974.1|Mamastrovirus_2|Sus_scrofa|Kenya,Mamastrovirus_2,Sus_scrofa,Kenya,pig
NC_025379.2|Mamastrovirus_3|Sus_scrofa|China,Mamastrovirus_3,Sus_scrofa,China,pig
NC_023674.1|Porcine_astrovirus_2|Sus_scrofa|USA,Porcine_astrovirus_2,Sus_scrofa,USA,pig
NC_019494.1|Porcine_astrovirus_3|Sus_scrofa|USA,Porcine_astrovirus_3,Sus_scrofa,USA,pig
NC_023675.1|Porcine_astrovirus_4|Sus_scrofa|USA,Porcine_astrovirus_4,Sus_scrofa,USA,pig
NC_033792.1|Qinghai_Himalayan_marmot_astrovirus_1|Marmota_himalayana|China,Qinghai_Himalayan_marmot_astrovirus_1,Marmota_himalayana,China,marmot
NC_033821.1|Qinghai_Himalayan_marmot_astrovirus_2|Marmota_himalayana|China,Qinghai_Himalayan_marmot_astrovirus_2,Marmota_himalayana,China,marmot
NC_025346.1|Rabbit_astrovirus_TN/2208/2010|Oryctolagus_cuniculus|USA,Rabbit_astrovirus_TN/2208/2010,Oryctolagus_cuniculus,USA,rabbit
NC_036583.1|Rodent_astrovirus|Rattus_norvegicus|China,Rodent_astrovirus,Rattus_norvegicus,China,rat
NC_002470.1|Turkey_astrovirus|Meleagris_gallopavo|NA,Turkey_astrovirus,Meleagris_gallopavo,NA,turkey
